split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,5.833333492279053,0.0050687403,0.10756717,0.005653028,0.02023953
unknown,13.75,0.0044244477,0.11119396,0.0046864394,0.017898176
unknown,10.0,0.0041553257,0.107285425,0.0045164395,0.041609854
unknown,12.75,0.0042590615,0.11123026,0.0045565213,0.022391776
unknown,4.666666507720947,0.0039374805,0.10945023,0.00368796,0.013707796
unknown,6.25,0.0039375876,0.10957774,0.0037227126,0.015605351
unknown,12.25,0.003916408,0.11202808,0.003958481,0.015256421
unknown,4.083333492279053,0.004261066,0.108461976,0.0045701778,0.027300315
unknown,7.916666507720947,0.004421004,0.10980659,0.0051296614,0.047702715
unknown,9.166666984558105,0.0044600847,0.10868061,0.0047478178,0.01221072
unknown,8.583333015441895,0.0044989944,0.1106477,0.005318109,0.031928696
unknown,8.666666984558105,0.0067056003,0.10399871,0.0070244577,0.034049448
unknown,13.416666984558105,0.0043157544,0.10744041,0.0039948784,0.033685815
unknown,5.833333492279053,0.0047440487,0.1094801,0.0054089753,0.017918468
unknown,10.25,0.003984876,0.1090569,0.0038460318,0.022958819
unknown,13.5,0.0037872917,0.1080446,0.0038420367,0.028784744
unknown,6.5,0.0044432194,0.11018484,0.0046595614,0.028026726
unknown,5.916666507720947,0.0048838514,0.10936608,0.0045200633,0.0121216355
unknown,12.583333015441895,0.0062914905,0.10929217,0.0063216086,0.024382822
unknown,17.66666603088379,0.004344357,0.10647127,0.0057616625,0.010537423
unknown,5.666666507720947,0.004186229,0.10847845,0.0036545442,0.009735966
unknown,8.083333015441895,0.004577921,0.11186195,0.0073746433,0.03774186
unknown,13.833333015441895,0.0046540843,0.1077538,0.0074266037,0.0155026
unknown,18.33333396911621,0.0036177451,0.10888119,0.0066985884,0.030970635
unknown,8.75,0.0051099346,0.10654095,0.005169155,0.023294382
unknown,3.5833332538604736,0.004430626,0.11039692,0.005848646,0.035491727
unknown,12.916666984558105,0.0041435366,0.108648814,0.009061376,0.028977683
unknown,12.75,0.0043235803,0.10869159,0.008556758,0.017773218
unknown,5.916666507720947,0.00446261,0.109600104,0.0047925645,0.019665437
unknown,16.91666603088379,0.0050121397,0.10838539,0.0054961634,0.032565314
unknown,5.0,0.006964414,0.10544313,0.011177865,0.027739849
unknown,5.916666507720947,0.0059161824,0.10876055,0.0075752013,0.03061669
unknown,4.583333492279053,0.0038218878,0.110033974,0.0036250988,0.032646872
unknown,4.25,0.0046333075,0.1082455,0.009102468,0.024024166
unknown,11.833333015441895,0.0043432624,0.10860657,0.007648542,0.053951405
unknown,12.166666984558105,0.0046754885,0.1086047,0.0049445876,0.014989399
unknown,14.333333015441895,0.0041192635,0.10967928,0.007793858,0.018753566
unknown,5.083333492279053,0.0048319055,0.11004303,0.008704937,0.010847958
unknown,13.083333015441895,0.0042642104,0.10854455,0.008284569,0.023911238
unknown,8.0,0.004174759,0.10877897,0.008453211,0.01730079
unknown,30.0,0.0071976082,0.092950426,0.012954356,0.020735623
unknown,25.0,0.0094898455,0.085069455,0.024789067,0.022028254
unknown,25.0,0.0067640776,0.10729344,0.00912282,0.026755126
unknown,19.0,0.005838872,0.09594706,0.008705466,0.011989939
unknown,19.0,0.0069254343,0.10508013,0.009139477,0.017294154
unknown,19.0,0.005811492,0.09819616,0.01870617,0.035972226
unknown,40.0,0.008391061,0.08452917,0.032984853,0.038194984
unknown,19.0,0.0067436625,0.08774751,0.01661614,0.032863
unknown,19.0,0.0062528774,0.101107515,0.007140048,0.01920704
unknown,30.0,0.007836809,0.09342421,0.010909419,0.03496947
unknown,19.0,0.008766487,0.09082912,0.013768486,0.02987824
unknown,19.0,0.009505747,0.089121215,0.013085959,0.021662964
unknown,30.0,0.007924137,0.08797856,0.011099257,0.02208847
unknown,25.0,0.0066981525,0.0911038,0.01906068,0.01573146
unknown,30.0,0.008121598,0.0866615,0.012927789,0.032075435
unknown,25.0,0.009539918,0.082451165,0.03186342,0.0331581
unknown,25.0,0.0057219104,0.09665984,0.008783178,0.036110662
unknown,19.0,0.007958348,0.09550983,0.008097571,0.01811746
unknown,19.0,0.006409328,0.099704355,0.0066532227,0.024953656
unknown,19.0,0.007474612,0.09545065,0.012422957,0.025026701
unknown,25.0,0.0051402063,0.102731496,0.018114237,0.032036755
