trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae
329,171,1.3160000000000001e-05,6.58e-05,6.58e-05,3164.009345689,1.3160000000000001e-05,1780657701.2106986,,,,,,,,,,,,,,
329,172,1.3160000000000001e-05,6.58e-05,6.58e-05,3166.296039052,1.3160000000000001e-05,1780657703.4972816,,,,,,,,,,,,,,
329,173,1.3160000000000001e-05,6.58e-05,6.58e-05,3168.585338566,1.3160000000000001e-05,1780657705.786659,,,,,,,,,,,,,,
329,174,,,,3170.873475972,,1780657708.0747228,5.0,0.09137719869613647,,,,,,,,,,,,
339,175,1.3560000000000002e-05,6.780000000000001e-05,6.780000000000001e-05,3253.312599166,1.3560000000000002e-05,1780657790.5139115,,,,,,,,,,,,,,
339,176,1.3560000000000002e-05,6.780000000000001e-05,6.780000000000001e-05,3255.6131415,1.3560000000000002e-05,1780657792.8144,,,,,,,,,,,,,,
339,177,1.3560000000000002e-05,6.780000000000001e-05,6.780000000000001e-05,3257.914885843,1.3560000000000002e-05,1780657795.1162295,,,,,,,,,,,,,,
339,178,1.3560000000000002e-05,6.780000000000001e-05,6.780000000000001e-05,3260.219550969,1.3560000000000002e-05,1780657797.420744,,,,,,,,,,,,,,
339,179,,,,3262.521443194,,1780657799.7227426,5.0,0.14673344790935516,,,,,,,,,,,,
341,180,,,,3304.342493458,,1780657841.543743,5.0,,0.13023608922958374,18.484375,0.0,0.13023608922958374,21.25615692138672,0.09853076934814453,,,,,,
341,181,,,,3304.861714664,,1780657842.0628278,5.0,,,,,,,,0.0,0.12851835787296295,0.12851835787296295,20.982379913330078,0.05974388122558594,17.502498626708984
349,182,1.396e-05,6.98e-05,6.98e-05,3369.430354288,1.396e-05,1780657906.631497,,,,,,,,,,,,,,
349,183,1.396e-05,6.98e-05,6.98e-05,3371.716932399,1.396e-05,1780657908.9181035,,,,,,,,,,,,,,
349,184,1.396e-05,6.98e-05,6.98e-05,3374.002703816,1.396e-05,1780657911.2040033,,,,,,,,,,,,,,
349,185,1.396e-05,6.98e-05,6.98e-05,3376.288183995,1.396e-05,1780657913.4894063,,,,,,,,,,,,,,
349,186,,,,3378.575881931,,1780657915.7772295,6.0,0.11149800568819046,,,,,,,,,,,,
359,187,1.4360000000000001e-05,7.18e-05,7.18e-05,3460.956835232,1.4360000000000001e-05,1780657998.1580098,,,,,,,,,,,,,,
359,188,1.4360000000000001e-05,7.18e-05,7.18e-05,3463.246088905,1.4360000000000001e-05,1780658000.4474087,,,,,,,,,,,,,,
359,189,1.4360000000000001e-05,7.18e-05,7.18e-05,3465.53600285,1.4360000000000001e-05,1780658002.7371917,,,,,,,,,,,,,,
359,190,1.4360000000000001e-05,7.18e-05,7.18e-05,3467.824691463,1.4360000000000001e-05,1780658005.025914,,,,,,,,,,,,,,
359,191,,,,3470.112486,,1780658007.313694,6.0,0.12625527381896973,,,,,,,,,,,,
369,192,1.4760000000000001e-05,7.38e-05,7.38e-05,3552.47885198,1.4760000000000001e-05,1780658089.6799893,,,,,,,,,,,,,,
